timestamp,materialId,materialName,siteId,siteName,stockLevel,consumption,hourOfDay,dayOfWeek,weather,projectType,siteActivityLevel,daysUntilOutOfStock
2024-01-02T07:00:00Z,MAT004,Acier de construction,SITE005,Chantier Centre,641,9,7,2,cloudy,commercial,medium,2.93
2024-01-02T08:00:00Z,MAT009,Isolant thermique,SITE001,Chantier Nord,416,24,8,2,rainy,residential,high,0.72
2024-01-02T09:00:00Z,MAT002,Sable de construction,SITE003,Chantier Est,1491,59,9,2,rainy,industrial,high,1.05
2024-01-02T10:00:00Z,MAT001,Ciment Portland,SITE004,Chantier Ouest,730,20,10,2,sunny,residential,high,1.51
2024-01-02T11:00:00Z,MAT001,Ciment Portland,SITE005,Chantier Centre,721,29,11,2,cloudy,commercial,high,1.03
2024-01-02T12:00:00Z,MAT003,Briques rouges,SITE003,Chantier Est,3720,80,12,2,snowy,industrial,medium,1.94
2024-01-02T13:00:00Z,MAT010,Plâtre,SITE001,Chantier Nord,246,14,13,2,windy,residential,high,0.73
2024-01-02T14:00:00Z,MAT008,Tuiles,SITE002,Chantier Sud,664,16,14,2,rainy,commercial,high,1.72
2024-01-02T15:00:00Z,MAT003,Briques rouges,SITE004,Chantier Ouest,3618,182,15,2,stormy,residential,high,0.83
2024-01-02T16:00:00Z,MAT002,Sable de construction,SITE005,Chantier Centre,1500,50,16,2,windy,commercial,high,1.25
2024-01-02T17:00:00Z,MAT005,Béton prêt à l'emploi,SITE002,Chantier Sud,1190,10,17,2,cloudy,commercial,medium,4.91
2024-01-02T18:00:00Z,MAT002,Sable de construction,SITE001,Chantier Nord,1546,4,18,2,rainy,residential,low,15.71
2024-01-02T19:00:00Z,MAT005,Béton prêt à l'emploi,SITE002,Chantier Sud,1200,0,19,2,cloudy,commercial,low,999
2024-01-02T20:00:00Z,MAT001,Ciment Portland,SITE002,Chantier Sud,750,0,20,2,snowy,commercial,low,999
2024-01-02T21:00:00Z,MAT003,Briques rouges,SITE004,Chantier Ouest,3800,0,21,2,cloudy,residential,low,999
2024-01-02T22:00:00Z,MAT009,Isolant thermique,SITE005,Chantier Centre,438,2,22,2,windy,commercial,low,8.69
2024-01-02T23:00:00Z,MAT003,Briques rouges,SITE003,Chantier Est,3798,2,23,2,stormy,industrial,low,75.36
2024-01-03T00:00:00Z,MAT002,Sable de construction,SITE001,Chantier Nord,1100,0,0,3,rainy,residential,low,999
2024-01-03T01:00:00Z,MAT003,Briques rouges,SITE004,Chantier Ouest,2598,2,1,3,snowy,residential,low,51.55
2024-01-03T02:00:00Z,MAT003,Briques rouges,SITE003,Chantier Est,2595,5,2,3,cloudy,industrial,low,21.2
2024-01-03T03:00:00Z,MAT004,Acier de construction,SITE003,Chantier Est,500,0,3,3,snowy,industrial,low,999
2024-01-03T04:00:00Z,MAT009,Isolant thermique,SITE004,Chantier Ouest,277,3,4,3,windy,residential,low,3.72
2024-01-03T05:00:00Z,MAT006,Gravier,SITE005,Chantier Centre,1398,2,5,3,rainy,commercial,low,27.74
2024-01-03T06:00:00Z,MAT006,Gravier,SITE001,Chantier Nord,1397,3,6,3,windy,residential,low,18.78
2024-01-03T07:00:00Z,MAT008,Tuiles,SITE004,Chantier Ouest,558,2,7,3,windy,residential,medium,11.07
2024-01-03T08:00:00Z,MAT007,Parpaings,SITE003,Chantier Est,607,33,8,3,sunny,industrial,high,0.76
2024-01-03T09:00:00Z,MAT010,Plâtre,SITE003,Chantier Est,99,21,9,3,stormy,industrial,high,0.2
2024-01-03T10:00:00Z,MAT006,Gravier,SITE004,Chantier Ouest,1308,92,10,3,windy,residential,high,0.59
2024-01-03T11:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,469,31,11,3,cloudy,residential,high,0.63
2024-01-03T12:00:00Z,MAT006,Gravier,SITE001,Chantier Nord,1342,58,12,3,stormy,residential,medium,0.96
2024-01-03T13:00:00Z,MAT003,Briques rouges,SITE003,Chantier Est,2475,125,13,3,sunny,industrial,high,0.82
2024-01-03T14:00:00Z,MAT009,Isolant thermique,SITE005,Chantier Centre,254,26,14,3,snowy,commercial,high,0.41
2024-01-03T15:00:00Z,MAT007,Parpaings,SITE002,Chantier Sud,598,42,15,3,stormy,commercial,high,0.59
2024-01-03T16:00:00Z,MAT005,Béton prêt à l'emploi,SITE002,Chantier Sud,864,36,16,3,rainy,commercial,high,1.0
2024-01-03T17:00:00Z,MAT003,Briques rouges,SITE001,Chantier Nord,2565,35,17,3,sunny,residential,medium,3.04
2024-01-03T18:00:00Z,MAT010,Plâtre,SITE001,Chantier Nord,120,0,18,3,windy,residential,low,999
2024-01-03T19:00:00Z,MAT010,Plâtre,SITE002,Chantier Sud,115,5,19,3,windy,commercial,low,0.94
2024-01-03T20:00:00Z,MAT005,Béton prêt à l'emploi,SITE003,Chantier Est,896,4,20,3,cloudy,industrial,low,9.11
2024-01-03T21:00:00Z,MAT007,Parpaings,SITE002,Chantier Sud,636,4,21,3,cloudy,commercial,low,6.46
2024-01-03T22:00:00Z,MAT003,Briques rouges,SITE002,Chantier Sud,2595,5,22,3,stormy,commercial,low,21.2
2024-01-03T23:00:00Z,MAT004,Acier de construction,SITE004,Chantier Ouest,498,2,23,3,windy,residential,low,9.88
2024-01-04T00:00:00Z,MAT004,Acier de construction,SITE004,Chantier Ouest,350,0,0,4,windy,residential,low,999
2024-01-04T01:00:00Z,MAT005,Béton prêt à l'emploi,SITE004,Chantier Ouest,600,0,1,4,sunny,residential,low,999
2024-01-04T02:00:00Z,MAT009,Isolant thermique,SITE005,Chantier Centre,120,0,2,4,stormy,commercial,low,999
2024-01-04T03:00:00Z,MAT006,Gravier,SITE004,Chantier Ouest,600,0,3,4,cloudy,residential,low,999
2024-01-04T04:00:00Z,MAT007,Parpaings,SITE005,Chantier Centre,360,0,4,4,stormy,commercial,low,999
2024-01-04T05:00:00Z,MAT009,Isolant thermique,SITE004,Chantier Ouest,120,0,5,4,stormy,residential,low,999
2024-01-04T06:00:00Z,MAT009,Isolant thermique,SITE004,Chantier Ouest,118,2,6,4,cloudy,residential,low,2.34
2024-01-04T07:00:00Z,MAT003,Briques rouges,SITE005,Chantier Centre,1362,38,7,4,sunny,commercial,medium,1.49
2024-01-04T08:00:00Z,MAT003,Briques rouges,SITE002,Chantier Sud,1217,183,8,4,stormy,commercial,high,0.28
2024-01-04T09:00:00Z,MAT007,Parpaings,SITE001,Chantier Nord,313,47,9,4,stormy,residential,high,0.28
2024-01-04T10:00:00Z,MAT002,Sable de construction,SITE004,Chantier Ouest,585,65,10,4,snowy,residential,high,0.37
2024-01-04T11:00:00Z,MAT009,Isolant thermique,SITE001,Chantier Nord,108,12,11,4,windy,residential,high,0.37
2024-01-04T12:00:00Z,MAT006,Gravier,SITE004,Chantier Ouest,559,41,12,4,windy,residential,medium,0.57
2024-01-04T13:00:00Z,MAT001,Ciment Portland,SITE002,Chantier Sud,218,32,13,4,snowy,commercial,high,0.28
2024-01-04T14:00:00Z,MAT009,Isolant thermique,SITE001,Chantier Nord,103,17,14,4,windy,residential,high,0.25
2024-01-04T15:00:00Z,MAT009,Isolant thermique,SITE001,Chantier Nord,100,20,15,4,rainy,residential,high,0.21
2024-01-04T16:00:00Z,MAT007,Parpaings,SITE004,Chantier Ouest,325,35,16,4,windy,residential,high,0.39
2024-01-04T17:00:00Z,MAT003,Briques rouges,SITE004,Chantier Ouest,1346,54,17,4,stormy,residential,medium,1.04
2024-01-04T18:00:00Z,MAT006,Gravier,SITE002,Chantier Sud,595,5,18,4,cloudy,commercial,low,4.86
2024-01-04T19:00:00Z,MAT008,Tuiles,SITE005,Chantier Centre,440,0,19,4,windy,commercial,low,999
2024-01-04T20:00:00Z,MAT006,Gravier,SITE002,Chantier Sud,600,0,20,4,sunny,commercial,low,999
2024-01-04T21:00:00Z,MAT002,Sable de construction,SITE004,Chantier Ouest,646,4,21,4,windy,residential,low,6.57
2024-01-04T22:00:00Z,MAT006,Gravier,SITE005,Chantier Centre,599,1,22,4,windy,commercial,low,22.69
2024-01-04T23:00:00Z,MAT009,Isolant thermique,SITE005,Chantier Centre,120,0,23,4,sunny,commercial,low,999
2024-01-05T00:00:00Z,MAT008,Tuiles,SITE001,Chantier Nord,320,0,0,5,stormy,residential,low,999
2024-01-05T01:00:00Z,MAT002,Sable de construction,SITE004,Chantier Ouest,200,0,1,5,stormy,residential,low,999
2024-01-05T02:00:00Z,MAT010,Plâtre,SITE003,Chantier Est,0,0,2,5,snowy,industrial,low,999
2024-01-05T03:00:00Z,MAT008,Tuiles,SITE004,Chantier Ouest,320,0,3,5,snowy,residential,low,999
2024-01-05T04:00:00Z,MAT009,Isolant thermique,SITE005,Chantier Centre,0,5,4,5,sunny,commercial,low,0
2024-01-05T05:00:00Z,MAT006,Gravier,SITE002,Chantier Sud,0,5,5,5,cloudy,commercial,low,0
2024-01-05T06:00:00Z,MAT007,Parpaings,SITE004,Chantier Ouest,80,0,6,5,stormy,residential,low,999
2024-01-05T07:00:00Z,MAT006,Gravier,SITE002,Chantier Sud,0,34,7,5,rainy,commercial,medium,0
2024-01-05T08:00:00Z,MAT009,Isolant thermique,SITE004,Chantier Ouest,0,18,8,5,snowy,residential,high,0
2024-01-05T09:00:00Z,MAT005,Béton prêt à l'emploi,SITE004,Chantier Ouest,262,38,9,5,snowy,residential,high,0.29
2024-01-05T10:00:00Z,MAT003,Briques rouges,SITE005,Chantier Centre,32,168,10,5,snowy,commercial,high,0.01
2024-01-05T11:00:00Z,MAT009,Isolant thermique,SITE004,Chantier Ouest,0,14,11,5,windy,residential,high,0
2024-01-05T12:00:00Z,MAT006,Gravier,SITE003,Chantier Est,0,61,12,5,stormy,industrial,medium,0
2024-01-05T13:00:00Z,MAT009,Isolant thermique,SITE005,Chantier Centre,0,26,13,5,stormy,commercial,high,0
2024-01-05T14:00:00Z,MAT002,Sable de construction,SITE005,Chantier Centre,155,45,14,5,cloudy,commercial,high,0.14
2024-01-05T15:00:00Z,MAT007,Parpaings,SITE002,Chantier Sud,53,27,15,5,cloudy,commercial,high,0.08
2024-01-05T16:00:00Z,MAT009,Isolant thermique,SITE001,Chantier Nord,0,15,16,5,cloudy,residential,high,0
2024-01-05T17:00:00Z,MAT005,Béton prêt à l'emploi,SITE004,Chantier Ouest,291,9,17,5,sunny,residential,medium,1.33
2024-01-05T18:00:00Z,MAT005,Béton prêt à l'emploi,SITE002,Chantier Sud,300,0,18,5,sunny,commercial,low,999
2024-01-05T19:00:00Z,MAT001,Ciment Portland,SITE002,Chantier Sud,0,0,19,5,sunny,commercial,low,999
2024-01-05T20:00:00Z,MAT001,Ciment Portland,SITE005,Chantier Centre,0,0,20,5,snowy,commercial,low,999
2024-01-05T21:00:00Z,MAT009,Isolant thermique,SITE001,Chantier Nord,0,0,21,5,stormy,residential,low,999
2024-01-05T22:00:00Z,MAT005,Béton prêt à l'emploi,SITE003,Chantier Est,295,5,22,5,sunny,industrial,low,2.41
2024-01-05T23:00:00Z,MAT002,Sable de construction,SITE002,Chantier Sud,200,0,23,5,stormy,commercial,low,999
2024-01-06T00:00:00Z,MAT001,Ciment Portland,SITE005,Chantier Centre,0,3,0,6,rainy,commercial,low,0
2024-01-06T01:00:00Z,MAT006,Gravier,SITE001,Chantier Nord,0,1,1,6,rainy,residential,low,0
2024-01-06T02:00:00Z,MAT006,Gravier,SITE001,Chantier Nord,0,2,2,6,windy,residential,low,0
2024-01-06T03:00:00Z,MAT008,Tuiles,SITE004,Chantier Ouest,200,0,3,6,cloudy,residential,low,999
2024-01-06T04:00:00Z,MAT008,Tuiles,SITE003,Chantier Est,197,3,4,6,windy,industrial,low,2.65
2024-01-06T05:00:00Z,MAT009,Isolant thermique,SITE002,Chantier Sud,0,0,5,6,sunny,commercial,low,999
2024-01-06T06:00:00Z,MAT001,Ciment Portland,SITE002,Chantier Sud,0,0,6,6,sunny,commercial,low,999
2024-01-06T07:00:00Z,MAT006,Gravier,SITE005,Chantier Centre,0,32,7,6,snowy,commercial,medium,0
2024-01-06T08:00:00Z,MAT002,Sable de construction,SITE001,Chantier Nord,0,53,8,6,windy,residential,high,0
2024-01-06T09:00:00Z,MAT010,Plâtre,SITE001,Chantier Nord,0,20,9,6,stormy,residential,high,0
2024-01-06T10:00:00Z,MAT001,Ciment Portland,SITE003,Chantier Est,0,30,10,6,cloudy,industrial,high,0
2024-01-06T11:00:00Z,MAT007,Parpaings,SITE001,Chantier Nord,0,31,11,6,rainy,residential,high,0
2024-01-06T12:00:00Z,MAT005,Béton prêt à l'emploi,SITE004,Chantier Ouest,0,13,12,6,windy,residential,medium,0
2024-01-06T13:00:00Z,MAT006,Gravier,SITE003,Chantier Est,0,122,13,6,stormy,industrial,high,0
2024-01-06T14:00:00Z,MAT007,Parpaings,SITE003,Chantier Est,0,39,14,6,rainy,industrial,high,0
2024-01-06T15:00:00Z,MAT005,Béton prêt à l'emploi,SITE004,Chantier Ouest,0,35,15,6,cloudy,residential,high,0
2024-01-06T16:00:00Z,MAT003,Briques rouges,SITE002,Chantier Sud,0,156,16,6,rainy,commercial,high,0
2024-01-06T17:00:00Z,MAT004,Acier de construction,SITE005,Chantier Centre,41,9,17,6,snowy,commercial,medium,0.19
2024-01-06T18:00:00Z,MAT002,Sable de construction,SITE003,Chantier Est,0,4,18,6,windy,industrial,low,0
2024-01-06T19:00:00Z,MAT006,Gravier,SITE002,Chantier Sud,0,0,19,6,cloudy,commercial,low,999
2024-01-06T20:00:00Z,MAT001,Ciment Portland,SITE004,Chantier Ouest,0,0,20,6,stormy,residential,low,999
2024-01-06T21:00:00Z,MAT006,Gravier,SITE005,Chantier Centre,0,4,21,6,windy,commercial,low,0
2024-01-06T22:00:00Z,MAT005,Béton prêt à l'emploi,SITE002,Chantier Sud,0,3,22,6,rainy,commercial,low,0
2024-01-06T23:00:00Z,MAT001,Ciment Portland,SITE004,Chantier Ouest,0,0,23,6,windy,residential,low,999
2024-01-07T00:00:00Z,MAT002,Sable de construction,SITE003,Chantier Est,0,2,0,7,rainy,industrial,low,0
2024-01-07T01:00:00Z,MAT001,Ciment Portland,SITE002,Chantier Sud,0,0,1,7,stormy,commercial,low,999
2024-01-07T02:00:00Z,MAT006,Gravier,SITE001,Chantier Nord,0,4,2,7,cloudy,residential,low,0
2024-01-07T03:00:00Z,MAT007,Parpaings,SITE002,Chantier Sud,0,0,3,7,cloudy,commercial,low,999
2024-01-07T04:00:00Z,MAT010,Plâtre,SITE005,Chantier Centre,0,2,4,7,windy,commercial,low,0
2024-01-07T05:00:00Z,MAT007,Parpaings,SITE003,Chantier Est,0,0,5,7,windy,industrial,low,999
2024-01-07T06:00:00Z,MAT003,Briques rouges,SITE005,Chantier Centre,0,4,6,7,rainy,commercial,low,0
2024-01-07T07:00:00Z,MAT006,Gravier,SITE002,Chantier Sud,0,30,7,7,cloudy,commercial,medium,0
2024-01-07T08:00:00Z,MAT010,Plâtre,SITE002,Chantier Sud,0,12,8,7,cloudy,commercial,high,0
2024-01-07T09:00:00Z,MAT001,Ciment Portland,SITE002,Chantier Sud,0,22,9,7,cloudy,commercial,high,0
2024-01-07T10:00:00Z,MAT003,Briques rouges,SITE005,Chantier Centre,0,153,10,7,rainy,commercial,high,0
2024-01-07T11:00:00Z,MAT004,Acier de construction,SITE002,Chantier Sud,0,14,11,7,sunny,commercial,high,0
2024-01-07T12:00:00Z,MAT007,Parpaings,SITE005,Chantier Centre,0,21,12,7,stormy,commercial,medium,0
2024-01-07T13:00:00Z,MAT002,Sable de construction,SITE005,Chantier Centre,0,53,13,7,windy,commercial,high,0
2024-01-07T14:00:00Z,MAT009,Isolant thermique,SITE003,Chantier Est,0,12,14,7,sunny,industrial,high,0
2024-01-07T15:00:00Z,MAT009,Isolant thermique,SITE001,Chantier Nord,0,27,15,7,stormy,residential,high,0
2024-01-07T16:00:00Z,MAT003,Briques rouges,SITE004,Chantier Ouest,0,137,16,7,cloudy,residential,high,0
2024-01-07T17:00:00Z,MAT006,Gravier,SITE004,Chantier Ouest,0,33,17,7,snowy,residential,medium,0
2024-01-07T18:00:00Z,MAT007,Parpaings,SITE003,Chantier Est,0,0,18,7,snowy,industrial,low,999
2024-01-07T19:00:00Z,MAT006,Gravier,SITE004,Chantier Ouest,0,2,19,7,stormy,residential,low,0
2024-01-07T20:00:00Z,MAT009,Isolant thermique,SITE001,Chantier Nord,0,3,20,7,snowy,residential,low,0
2024-01-07T21:00:00Z,MAT005,Béton prêt à l'emploi,SITE004,Chantier Ouest,0,0,21,7,rainy,residential,low,999
2024-01-07T22:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,0,0,22,7,windy,residential,low,999
2024-01-07T23:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,0,0,23,7,stormy,residential,low,999
2024-01-08T00:00:00Z,MAT006,Gravier,SITE002,Chantier Sud,0,0,0,1,stormy,commercial,low,999
2024-01-08T01:00:00Z,MAT003,Briques rouges,SITE001,Chantier Nord,0,0,1,1,windy,residential,low,999
2024-01-08T02:00:00Z,MAT004,Acier de construction,SITE003,Chantier Est,0,0,2,1,windy,industrial,low,999
2024-01-08T03:00:00Z,MAT005,Béton prêt à l'emploi,SITE002,Chantier Sud,0,0,3,1,cloudy,commercial,low,999
2024-01-08T04:00:00Z,MAT009,Isolant thermique,SITE001,Chantier Nord,0,0,4,1,snowy,residential,low,999
2024-01-08T05:00:00Z,MAT008,Tuiles,SITE005,Chantier Centre,0,0,5,1,snowy,commercial,low,999
2024-01-08T06:00:00Z,MAT007,Parpaings,SITE001,Chantier Nord,0,0,6,1,stormy,residential,low,999
2024-01-08T07:00:00Z,MAT007,Parpaings,SITE002,Chantier Sud,0,3,7,1,sunny,commercial,medium,0
2024-01-08T08:00:00Z,MAT010,Plâtre,SITE001,Chantier Nord,0,17,8,1,sunny,residential,high,0
2024-01-08T09:00:00Z,MAT006,Gravier,SITE005,Chantier Centre,0,89,9,1,cloudy,commercial,high,0
2024-01-08T10:00:00Z,MAT008,Tuiles,SITE005,Chantier Centre,0,8,10,1,cloudy,commercial,high,0
2024-01-08T11:00:00Z,MAT003,Briques rouges,SITE005,Chantier Centre,0,133,11,1,windy,commercial,high,0
2024-01-08T12:00:00Z,MAT008,Tuiles,SITE003,Chantier Est,0,11,12,1,stormy,industrial,medium,0
2024-01-08T13:00:00Z,MAT003,Briques rouges,SITE001,Chantier Nord,0,163,13,1,snowy,residential,high,0
2024-01-08T14:00:00Z,MAT002,Sable de construction,SITE001,Chantier Nord,0,63,14,1,snowy,residential,high,0
2024-01-08T15:00:00Z,MAT001,Ciment Portland,SITE005,Chantier Centre,0,32,15,1,snowy,commercial,high,0
2024-01-08T16:00:00Z,MAT008,Tuiles,SITE004,Chantier Ouest,0,14,16,1,windy,residential,high,0
2024-01-08T17:00:00Z,MAT010,Plâtre,SITE003,Chantier Est,0,1,17,1,stormy,industrial,medium,0
2024-01-08T18:00:00Z,MAT001,Ciment Portland,SITE005,Chantier Centre,0,0,18,1,windy,commercial,low,999
2024-01-08T19:00:00Z,MAT008,Tuiles,SITE005,Chantier Centre,0,5,19,1,sunny,commercial,low,0
2024-01-08T20:00:00Z,MAT004,Acier de construction,SITE002,Chantier Sud,0,4,20,1,snowy,commercial,low,0
2024-01-08T21:00:00Z,MAT004,Acier de construction,SITE001,Chantier Nord,0,2,21,1,sunny,residential,low,0
2024-01-08T22:00:00Z,MAT010,Plâtre,SITE003,Chantier Est,0,0,22,1,windy,industrial,low,999
2024-01-08T23:00:00Z,MAT004,Acier de construction,SITE001,Chantier Nord,0,4,23,1,cloudy,residential,low,0
2024-01-09T00:00:00Z,MAT010,Plâtre,SITE005,Chantier Centre,0,5,0,2,rainy,commercial,low,0
2024-01-09T01:00:00Z,MAT003,Briques rouges,SITE002,Chantier Sud,0,0,1,2,windy,commercial,low,999
2024-01-09T02:00:00Z,MAT004,Acier de construction,SITE002,Chantier Sud,0,0,2,2,rainy,commercial,low,999
2024-01-09T03:00:00Z,MAT002,Sable de construction,SITE001,Chantier Nord,0,4,3,2,stormy,residential,low,0
2024-01-09T04:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,0,0,4,2,rainy,residential,low,999
2024-01-09T05:00:00Z,MAT004,Acier de construction,SITE001,Chantier Nord,0,0,5,2,sunny,residential,low,999
2024-01-09T06:00:00Z,MAT009,Isolant thermique,SITE005,Chantier Centre,0,0,6,2,windy,commercial,low,999
2024-01-09T07:00:00Z,MAT002,Sable de construction,SITE003,Chantier Est,0,13,7,2,snowy,industrial,medium,0
2024-01-09T08:00:00Z,MAT002,Sable de construction,SITE002,Chantier Sud,0,58,8,2,rainy,commercial,high,0
2024-01-09T09:00:00Z,MAT005,Béton prêt à l'emploi,SITE004,Chantier Ouest,0,38,9,2,windy,residential,high,0
2024-01-09T10:00:00Z,MAT007,Parpaings,SITE005,Chantier Centre,0,31,10,2,cloudy,commercial,high,0
2024-01-09T11:00:00Z,MAT002,Sable de construction,SITE004,Chantier Ouest,0,68,11,2,stormy,residential,high,0
2024-01-09T12:00:00Z,MAT009,Isolant thermique,SITE003,Chantier Est,0,12,12,2,cloudy,industrial,medium,0
2024-01-09T13:00:00Z,MAT009,Isolant thermique,SITE005,Chantier Centre,0,15,13,2,windy,commercial,high,0
2024-01-09T14:00:00Z,MAT010,Plâtre,SITE003,Chantier Est,0,16,14,2,snowy,industrial,high,0
2024-01-09T15:00:00Z,MAT001,Ciment Portland,SITE004,Chantier Ouest,0,28,15,2,windy,residential,high,0
2024-01-09T16:00:00Z,MAT007,Parpaings,SITE005,Chantier Centre,0,39,16,2,snowy,commercial,high,0
2024-01-09T17:00:00Z,MAT009,Isolant thermique,SITE005,Chantier Centre,0,5,17,2,sunny,commercial,medium,0
2024-01-09T18:00:00Z,MAT005,Béton prêt à l'emploi,SITE002,Chantier Sud,0,3,18,2,windy,commercial,low,0
2024-01-09T19:00:00Z,MAT009,Isolant thermique,SITE002,Chantier Sud,0,0,19,2,cloudy,commercial,low,999
2024-01-09T20:00:00Z,MAT001,Ciment Portland,SITE003,Chantier Est,0,0,20,2,snowy,industrial,low,999
2024-01-09T21:00:00Z,MAT005,Béton prêt à l'emploi,SITE002,Chantier Sud,0,0,21,2,rainy,commercial,low,999
2024-01-09T22:00:00Z,MAT008,Tuiles,SITE002,Chantier Sud,0,0,22,2,stormy,commercial,low,999
2024-01-09T23:00:00Z,MAT005,Béton prêt à l'emploi,SITE005,Chantier Centre,0,0,23,2,cloudy,commercial,low,999
2024-01-10T00:00:00Z,MAT006,Gravier,SITE002,Chantier Sud,0,2,0,3,stormy,commercial,low,0
2024-01-10T01:00:00Z,MAT002,Sable de construction,SITE003,Chantier Est,0,0,1,3,snowy,industrial,low,999
2024-01-10T02:00:00Z,MAT005,Béton prêt à l'emploi,SITE002,Chantier Sud,0,2,2,3,cloudy,commercial,low,0
2024-01-10T03:00:00Z,MAT001,Ciment Portland,SITE003,Chantier Est,0,3,3,3,sunny,industrial,low,0
2024-01-10T04:00:00Z,MAT004,Acier de construction,SITE004,Chantier Ouest,0,0,4,3,cloudy,residential,low,999
2024-01-10T05:00:00Z,MAT009,Isolant thermique,SITE002,Chantier Sud,0,0,5,3,windy,commercial,low,999
2024-01-10T06:00:00Z,MAT008,Tuiles,SITE004,Chantier Ouest,0,5,6,3,windy,residential,low,0
2024-01-10T07:00:00Z,MAT002,Sable de construction,SITE003,Chantier Est,0,13,7,3,rainy,industrial,medium,0
2024-01-10T08:00:00Z,MAT010,Plâtre,SITE005,Chantier Centre,0,15,8,3,sunny,commercial,high,0
2024-01-10T09:00:00Z,MAT002,Sable de construction,SITE001,Chantier Nord,0,63,9,3,snowy,residential,high,0
2024-01-10T10:00:00Z,MAT007,Parpaings,SITE002,Chantier Sud,0,25,10,3,windy,commercial,high,0
